transaction_id,date,merchant_raw,amount
406bcf54-7de5-4541-8eb4-40a79c9a0d3b,2026-05-05 16:35:42,Amazon NY,-77.52
f436f278-ae73-450a-a14c-ab8099881b6d,2026-05-04 12:34:13,AMZN MKTP US* Airbnb,-980.68
a53732d1-d5f8-41b3-8425-9ed1f5369788,2026-05-01 10:21:55,Amazon NY,-65.21
e01667d6-7001-4b1b-b3b3-1b4065dbd5e8,2026-05-01 08:00:00,ACH ELECTRONIC CREDIT DIRECT DEP TECH CORP,10000.0
eb2f4d50-6463-4a03-a70f-8d445866f2ff,2026-05-01 07:05:57,TST* Uber NY,-32.18
e9257603-6c76-422b-a86f-c00da6bb11c3,2026-04-30 00:27:02,TST* DoorDash SAN FRANCISCO,-32.91
62eee0a8-1a35-48be-8603-f1d6f191f2a0,2026-04-29 07:31:42,PAYPAL *Netflix,-15.0
d92abc5f-ff82-4842-abc4-4e0bbcf0195a,2026-04-29 01:51:43,PAYPAL *Alo Yoga SAN FRANCISCO,-110.82
02344f0d-ad95-4aba-abd5-b604acb27e9e,2026-04-28 15:26:40,Airbnb #12345,-1052.86
ca6bc72d-cb99-4ceb-9270-b7d6224a4cac,2026-04-28 01:57:43,SQ* Starbucks NY,-7.8
eb1ee9f9-ce3c-4ff0-a21f-ba1d4f8c5344,2026-04-27 10:20:22,PAYPAL *Alo Yoga #12345,-67.08
552f530d-5d27-4b75-9d46-395babdf60f4,2026-04-25 03:37:06,TST* Airbnb CA,-638.0
0bc4765f-bc12-413d-be3d-2eaa676acb3d,2026-04-23 21:06:43,TST* LOEWE #12345,-1393.37
c51055f5-a78a-4779-bdb7-06ef2ac7c1a0,2026-04-23 20:56:37,SQ* Starbucks CA,-11.4
03f2dd12-533c-4fc4-a3be-8cb5a30d97c9,2026-04-23 06:40:19,Whole Foods,-50.06
d646815a-c7ca-4728-b0c3-843df545dc86,2026-04-23 01:26:25,PAYPAL *Starbucks CA,-4.15
